,0,1,2
0,input/small_0.csv,36.9,30.0
1,input/small_1.csv,42.4,33.0
2,input/small_2.csv,65.60000000000001,59.400000000000006
3,input/small_3.csv,29.500000000000004,24.399999999999995
4,input/small_4.csv,33.9,33.2
5,input/small_5.csv,63.599999999999994,56.5
6,input/small_6.csv,44.9,45.8
7,input/small_7.csv,56.3,51.300000000000004
8,input/small_8.csv,38.1,37.00000000000001
9,input/small_9.csv,58.099999999999994,50.199999999999996
10,input/medium_0.csv,408.7,352.9
11,input/medium_1.csv,380.0,364.5
12,input/medium_2.csv,307.70000000000005,264.9999999999999
13,input/medium_3.csv,380.1,337.8999999999998
14,input/medium_4.csv,279.2000000000001,258.50000000000006
15,input/medium_5.csv,398.5,366.3999999999999
16,input/medium_6.csv,323.09999999999997,276.30000000000007
17,input/medium_7.csv,325.5,285.60000000000014
18,input/medium_8.csv,271.29999999999995,250.70000000000007
19,input/medium_9.csv,299.0,277.00000000000006
20,input/large_0.csv,917.9000000000003,747.6000000000008
21,input/large_1.csv,988.1999999999999,838.4999999999999
22,input/large_2.csv,736.8999999999997,657.1000000000007
23,input/large_3.csv,844.5000000000002,783.2000000000004
24,input/large_4.csv,844.2000000000003,758.0
25,input/large_5.csv,795.7,692.7999999999994
26,input/large_6.csv,793.7,726.8999999999996
27,input/large_7.csv,867.8000000000003,729.7000000000007
28,input/large_8.csv,944.8999999999999,880.4000000000001
29,input/large_9.csv,762.1999999999999,708.7000000000005
30,input/xl_0.csv,1655.3,1453.1000000000001
31,input/xl_1.csv,1605.1,1488.1999999999994
32,input/xl_2.csv,1486.899999999999,1346.9999999999989
33,input/xl_3.csv,1390.2000000000003,1256.9000000000021
34,input/xl_4.csv,1466.9999999999995,1360.2999999999997
35,input/xl_5.csv,1441.5000000000005,1320.8999999999992
36,input/xl_6.csv,1737.3999999999996,1591.199999999999
37,input/xl_7.csv,1705.1,1500.5999999999983
38,input/xl_8.csv,1512.6999999999998,1340.5000000000007
39,input/xl_9.csv,1531.7000000000003,1382.8999999999999
